i,id,rot,t,x,z
15313,0xa1,-0.8652768135070801,0.0,2957.634033203125,2061.899169921875
15315,0xa1,-0.8652768731117249,0.0,2965.303955078125,2061.779541015625
15318,0xa1,-0.8652768135070801,0.0,2972.823486328125,2062.042236328125
15321,0xa1,-0.9850659370422363,0.0,2970.240234375,2062.342529296875
15322,0xa1,-0.9850659370422363,0.0,2967.60693359375,2062.64697265625
15323,0xa1,-0.9947169423103333,0.0,2966.05078125,2062.951171875
15324,0xa1,-0.9947169423103333,0.0,2964.512451171875,2063.254638671875
15325,0xa1,-0.9996396899223328,0.0,2964.108642578125,2063.556640625
15326,0xa1,-0.9996396899223328,0.0,2963.697265625,2063.885009765625
15327,0xa1,-0.9983834028244019,0.0,2964.56787109375,2064.176025390625
15328,0xa1,-0.9983834028244019,0.0,2965.42041015625,2064.480224609375
15329,0xa1,-0.9888483881950378,0.0,2967.67578125,2064.782470703125
15330,0xa1,-0.9888483881950378,0.0,2969.91064453125,2065.083740234375
15331,0xa1,-0.9682971239089966,0.0,2973.733154296875,2065.383544921875
15332,0xa1,-0.9682971239089966,0.0,2977.51708984375,2065.680419921875
15333,0xa1,-0.9321733117103577,0.0,2982.89306640625,2065.848388671875
15334,0xa1,-0.9321733117103577,0.0,2988.432373046875,2065.71923828125
15335,0xa1,-0.8752170205116272,0.0,2995.97802734375,2065.826416015625
15336,0xa1,-0.8752170205116272,0.0,3003.3056640625,2065.93505859375
15337,0xa1,-0.570595920085907,0.0,3015.748779296875,2065.83837890625
15338,0xa1,-0.570595920085907,0.0,3028.55859375,2065.73876953125
15339,0xa1,-0.4622015058994293,0.0,3041.860595703125,2065.588134765625
15340,0xa1,-0.4622015058994293,0.0,3055.16259765625,2065.4375
15491,0xa1,0.4158307611942291,0.0,3068.80419921875,2065.013916015625
15494,0xa1,0.41583117842674255,0.0,3082.44580078125,2064.590576171875
15496,0xa1,0.41583120822906494,0.0,3096.359375,2064.25537109375
15498,0xa1,0.41583123803138733,0.0,3110.27490234375,2064.150146484375
15500,0xa1,0.41583114862442017,0.0,3124.32568359375,2064.00537109375
15502,0xa1,0.41583067178726196,0.0,3138.2392578125,2063.861328125
15503,0xa1,0.4158305525779724,0.0,3151.880859375,2063.72216796875
15505,0xa1,0.4158307611942291,0.0,3165.5224609375,2063.581298828125
15507,0xa1,0.41583114862442017,0.0,3179.029052734375,2063.442626953125
15509,0xa1,0.41583049297332764,0.0,3192.942626953125,2063.300537109375
15511,0xa1,0.4158303737640381,0.0,3206.584228515625,2063.159423828125
15518,0xa1,0.41583073139190674,0.0,3220.36279296875,2063.017822265625
15522,0xa1,0.4158308506011963,0.0,3234.00439453125,2062.876953125
15525,0xa1,0.41583138704299927,0.0,3247.782958984375,2062.7353515625
15527,0xa1,0.4158315062522888,0.0,3261.696533203125,2062.59326171875
15529,0xa1,0.4158313572406769,0.0,3275.338134765625,2062.4521484375
15531,0xa1,0.415831983089447,0.0,3288.979736328125,2062.31298828125
15533,0xa1,0.41583260893821716,0.0,3302.895263671875,2062.1689453125
15535,0xa1,0.4158324897289276,0.0,3316.536865234375,2062.030029296875
15537,0xa1,0.4158332049846649,0.0,3330.450439453125,2061.8857421875
15538,0xa1,0.4158330261707306,0.0,3344.365966796875,2061.74365234375
