i,rot,t,x,z
403,-0.7071068286895752,0.0,9739.205078125,872.1499633789062
404,-0.7071067094802856,0.0,9694.8759765625,872.1499633789062
405,-1.0000003576278687,0.0,9660.244140625,872.1499633789062
406,-1.0000003576278687,0.0,9660.2451171875,872.1499633789062
407,-1.0000003576278687,0.0,9660.2451171875,872.1499633789062
408,-1.0000003576278687,0.0,9660.2451171875,872.1499633789062
409,-1.0000003576278687,0.0,9660.2451171875,872.1499633789062
410,-1.0000003576278687,0.0,9660.2451171875,880.597412109375
411,-1.0000003576278687,0.0,9660.2451171875,880.597412109375
412,-0.7071070075035095,0.0,9680.7041015625,876.6155395507812
413,-0.707106351852417,0.0,9725.1005859375,872.1599731445312
414,1.7881397695873602e-07,0.0,9781.61328125,872.1599731445312
415,1.7881397695873602e-07,0.0,9842.5673828125,872.1599731445312
416,4.203895392974451e-45,0.0,9851.9267578125,872.1599731445312
417,5.96046660916727e-08,0.0,9801.1630859375,872.1599731445312
418,0.707106351852417,0.0,9740.451171875,872.1599731445312
419,0.7071070075035095,0.0,9696.095703125,872.1599731445312
420,1.0000003576278687,0.0,9671.9267578125,880.8463745117188
421,0.7071065902709961,0.0,9698.8974609375,880.8463745117188
422,0.7071065902709961,0.0,9743.2900390625,880.8463745117188
423,0.9999997615814209,0.0,9765.2607421875,872.1499633789062
424,1.0000003576278687,0.0,9765.2607421875,872.1499633789062
425,0.7071070075035095,0.0,9736.3466796875,872.1499633789062
426,1.0000003576278687,0.0,9697.5,872.1499633789062
427,1.0000003576278687,0.0,9697.486328125,872.1499633789062
428,1.0000003576278687,0.0,9697.486328125,872.1499633789062
429,1.0000003576278687,0.0,9697.486328125,872.1499633789062
430,1.0000003576278687,0.0,9697.486328125,889.4451293945312
431,1.0000003576278687,0.0,9697.486328125,893.2977905273438
432,0.7071069478988647,0.0,9717.98828125,872.1499633789062
433,-5.96046660916727e-08,0.0,9768.5087890625,872.1499633789062
434,1.7881397695873602e-07,0.0,9831.251953125,872.1499633789062
435,0.7071068286895752,0.0,9877.9375,875.4796752929688
436,1.0000003576278687,0.0,9914.6904296875,872.3516845703125
437,0.9999997615814209,0.0,9913.9521484375,872.3516845703125
438,0.9999997615814209,0.0,9911.2041015625,872.3516845703125
439,0.707106351852417,0.0,9861.9541015625,872.3516845703125
440,1.0000003576278687,0.0,9827.677734375,872.3516845703125
441,1.0000003576278687,0.0,9821.1318359375,872.3516845703125
442,1.0000003576278687,0.0,9821.1318359375,872.3516845703125
443,1.0000003576278687,0.0,9821.1318359375,872.3516845703125
444,1.0000003576278687,0.0,9821.1318359375,872.3516845703125
445,1.0000003576278687,0.0,9821.1318359375,872.3516845703125
446,-1.0000003576278687,0.0,9821.1318359375,872.3516845703125
447,-1.0000003576278687,0.0,9821.1318359375,872.3516845703125
448,-1.0000003576278687,0.0,9821.1318359375,872.3516845703125
449,-1.0000003576278687,0.0,9821.1318359375,872.3516845703125
450,-1.0000003576278687,0.0,9821.1318359375,872.3516845703125
451,-0.7071067094802856,0.0,9790.1123046875,872.3516845703125
452,-0.7071067094802856,0.0,9745.771484375,872.3516845703125
453,-0.7071067094802856,0.0,9701.42578125,872.3516845703125
454,-1.0000003576278687,0.0,9683.681640625,872.3516845703125
455,-0.707106351852417,0.0,9725.3134765625,872.3516845703125
456,-0.9999997615814209,0.0,9743.095703125,893.2767944335938
457,-0.9999997615814209,0.0,9743.095703125,890.8896484375
458,-0.7071069478988647,0.0,9733.189453125,872.1500244140625
459,-0.7071067094802856,0.0,9688.84765625,872.1500244140625
460,-1.0000003576278687,0.0,9681.66015625,872.1500244140625
461,-0.707106351852417,0.0,9721.125,872.1500244140625
462,-1.0000003576278687,0.0,9756.39453125,872.1500244140625
463,-1.0000003576278687,0.0,9756.4052734375,872.1500244140625
464,-0.707106351852417,0.0,9785.3095703125,872.1500244140625
465,1.7881397695873602e-07,0.0,9844.455078125,872.1500244140625
466,4.203895392974451e-45,0.0,9850.427734375,872.1500244140625
467,-3.5762795391747204e-07,0.0,9793.4736328125,872.1500244140625
468,-3.5762795391747204e-07,0.0,9732.931640625,872.1500244140625
469,-3.5762795391747204e-07,0.0,9670.21484375,872.1500244140625
470,-3.5762795391747204e-07,0.0,9607.310546875,872.1500244140625
471,-3.5762795391747204e-07,0.0,9544.4619140625,872.1500244140625
472,-3.5762795391747204e-07,0.0,9484.419921875,872.1500244140625
473,-3.5762795391747204e-07,0.0,9424.400390625,872.1500244140625
474,-3.5762795391747204e-07,0.0,9364.35546875,872.1500244140625
475,-3.5762795391747204e-07,0.0,9301.49609375,872.1500244140625
476,-3.5762795391747204e-07,0.0,9238.6865234375,872.1500244140625
477,-3.5762795391747204e-07,0.0,9178.3515625,872.1500244140625
478,-7.152559078349441e-07,0.0,9145.5068359375,872.1500244140625
482,3.5762795391747204e-07,0.0,9175.3701171875,872.1500244140625
483,3.5762795391747204e-07,0.0,9238.0791015625,872.1500244140625
484,-0.7500990629196167,0.0,9244.0517578125,872.1500244140625
